hash256,birth_year_value,death_year_value,birth_city,birth_state,birth_city_lat_long,birth_country,death_city,death_state,death_country,death_city_latitude_longitude
c5709b287913713ddf8e665227722aeec83242f144b4ea124ea9a888d5c3cc22,1774,1840,Rehoboth,MA,"41.85396, -71.23999",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
da56107479867d172b78958cdb85301e9566156ce04b5c5cb460c66f30f8bfbb,1775,1824,Templeton,MA,"42.5554, -72.0679",United States of America,,,,
21549b55db38761aed41a1679b335819f9a23556956deb533afec4860a6a70bc,1775,1837,,,,,Warren,RI,United States of America,"41.73033, -71.28256"
2f1f06a03eb540a8ec452af8be5d092215b991a008f9adac6f757fa170676ecb,1775,1831,Halifax,MA,"36.76584, -78.92844",United States of America,,,,
18fc1d55997c51c681a937972012e45cfe0416b7947167747e7c2f32cfa77ade,1775,1836,,,,,Washington,TX,United States of America,
dfd6acf764ddf6d8a78efe0da94dfe796fb9e927b3dd7d719d8c1f7524facc39,1775,1857,Cumberland,RI,"41.9638, -71.4314",United States of America,,,,
4714b4d6fa24ca940f0db70ee43ca7cabf366692080d211f12438905372e38fc,1775,1816,,,,,Slatersville,RI,United States of America,"42.00033, -71.57962"
062562835d7ac1a8c7502ee01c8a9ce01f1ab9c1e4c8407057a0c50feccd4be1,1775,1823,,,,,Marietta,OH,United States of America,"39.41723, -81.45538"
ebfc96bb23744ff71d07b8afe986ec177171c3107b25e048a4406a00a52022ce,1775,1858,,,,,Providence,RI,United States of America,"41.82442, -71.41251"
c729e2ceff49edd7afb54e341d1b6189d53b17ddae16482d693823b57b322fbc,1776,1862,Scituate,RI,"41.7854, -71.6099",United States of America,North Providence,RI,United States of America,"41.84987, -71.46598"
b7aa1f6d7902e804864915acebf6905f30c238067a7aa1434aaf4e8b665e423e,1776,1796,,,,,Cape Nichola Mole,,Hispaniola,"19.80692, -73.37648"
2eeb4b9bff6ab35ef8bb7e1a087daf23e3b6d3050d502762462510184f46ad35,1777,1822,Belchertown,MA,"42.2773, -72.4006",United States of America,Louisville,KY,United States of America,"38.2506, -85.7545"
38dc710bf245311ab5cd7c8aaaa8f000573a8b858d6165eea49fed77e4efd5cd,1777,1844,Keene,NH,"42.9353, -72.2784",United States of America,Franklin,MA,United States of America,"42.0845, -71.4001"
421b0096137f514799100650ad5ff9d28dfac2a761d778f5dd619442fc10f052,1777,1835,Woodstock,CT,"41.9483, -71.9721",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
f184be58f2d4a49589c1453ff26961375a18f603b95866aa737f12655b48004e,1777,1850,Warwick,RI,"41.7001, -71.4595",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
