alias,comp,cond_sterling,cond_rivera,legi_sterling,legi_rivera,cond_rivera_original,legi_rivera_original
0936,marble,fair,fair,fair,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0937,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0938,slate,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0939,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0940,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0941,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0942,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0943,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0944,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0945,marble,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0946,marble,fair,good,fair,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0947,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0948,slate,good,good,good,good,2_sound_displaced,2_all_legible
0949,marble,poor,fair,fair,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0950,marble,poor,fair,fair,fair,3_falling_apart_incomplete_recognizable,3_mainly_legible
0951,marble,good,good,good,good,2_sound_displaced,2_all_legible
0952,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0953,,,good,,,1_sound_in_situ_or_leaning,7_never_inscribed
0954,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0955,slate,fair,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0956,slate,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0957,slate,fair,good,fair,good,1_sound_in_situ_or_leaning,2_all_legible
0958,slate,good,good,good,good,2_sound_displaced,1_mint
0959,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0960,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0961,slate,good,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0962,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0963,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0964,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0965,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0966,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0967,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0968,marble,good,good,fair,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0969,marble,good,good,poor,good,1_sound_in_situ_or_leaning,2_all_legible
0970,slate,good,good,good,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0971,marble,fair,good,poor,fair,1_sound_in_situ_or_leaning,3_mainly_legible
0972,marble,fair,good,poor,good,1_sound_in_situ_or_leaning,2_all_legible
0973,marble,poor,gone,poor,,6_in_sterling_no_longer_identifiable_on_site,
0974,marble,poor,gone,poor,,6_in_sterling_no_longer_identifiable_on_site,
0975,slate,fair,gone,good,,6_in_sterling_no_longer_identifiable_on_site,
0976,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,5_illegible_destroyed
0977,marble,poor,good,poor,unknown,2_sound_displaced,6_face_down
0978,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0979,marble,fair,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0980,marble,fair,good,poor,poor,1_sound_in_situ_or_leaning,4_traces
0981,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0982,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0983,slate,fair,good,fair,fair,2_sound_displaced,3_mainly_legible
