hash256,section,composition,condition,legibility,estimated_installation_year
1613c24ee74c24bf38b81e5d96581f654395c4bc9c2ef9b36fb8e34b7d6d33ee,AA,slate,good,good,1928
16190eaeb941ac1b684c082e3d78cb234f7004efe776a38b2a9622f057ceefc3,AA,marble,good,fair,1879
1685d15427071bac15a6a832444e790e4ce3a35c52f95afa7e4a84e7a84ab37d,AA,granite,good,good,1934
16b4f256e2375993e9b33c053e59f539a77b391758bc4b9e320eda7590ebe8b7,AA,granite,good,good,1848
16c2e2a75c54c43d6976b7497c3d14379418fe314bd910e95ba32410ce981ae5,AA,marble,fair,poor,1828
16fb1c324033f501603c3442c72898abb0646aa8ad02cd7c6f25c528d044a3a6,AA,,,,1811
16fcaf97b19f6ab969e7e6b406ca0ac5d3e6f99b59217486a3583e8a31a7c071,AA,marble,good,good,1836
1702c34973d00fee8643ad5045ea1365d1cc4461de467c133140c2e5c5f9cffa,AA,slate,good,good,1835
17395c9427c5155f5433d75396fc9cc8f53a421eaf9e4ed1a898e901451a3dfa,AA,slate,good,good,1813
1742b7a792b3b31a1add0171cc7b6f91f19cfb2074f5f1ca12c8fba2d62b46a4,AA,granite,good,good,1858
17844f8ac91fb53ddc23d49116a0e6107f75a35c05c526572771e447691dd3b8,AA,marble,good,good,1845
17f7da985ea0c240387c2d8007502fe0153d02dad24bb13530aa832f82d3a3d6,AA,marble,good,good,1826
185c010c351146fb0ad7dd7de0a9b94a81b35b2b9f441bed676308bde5112a67,AA,,,,1829
188dda29f4a64d95f71e7dc40a3c87f5816e9559744d41cc1c7410cdfbdd5b3c,AA,marble,good,fair,1879
18d7109a4ef30242b0d157d9afb0de95b76eeb22f06b4e5b2bdae8b491945dcd,AA,slate,good,good,1840
1930acdd1388520a801a437a557a343f4a6d51dc0678b494d40bf95578f5bbc4,AA,slate,good,good,1837
1932925b971279a36558d8c57bd90c6441093c784b874110904405d6ddde0e03,AA,slate,good,good,1816
193ad41dc835368bb116116347ed2874e20e6abf686bd7364ec1a1b7b8ef61c6,AA,granite,good,good,1952
1971c991515362665b8bf886a3d689daca6bcb3114ecc9424f23d16ce14be790,AA,marble,fair,fair,1849
197ed10ffe93dbcd594ddda410b91cf5e80ff51955bdc8178a77fa1382900552,AA,marble,fair,fair,1839
